政党,年,都道府県,市区町村,座席数,期間総額（1人）,月額,推計総額,在任月数,期末手当回数（3月）,期末手当回数（6月）,期末手当回数（12月）
日本共産党,2011,大阪府,八尾市,2,39772000.0,610000.0,79544000.0,48,4,4,4
無所属,2011,大阪府,八尾市,21,39772000.0,610000.0,835212000.0,48,4,4,4
日本共産党,2015,大阪府,八尾市,2,39772000.0,610000.0,79544000.0,48,4,4,4
無所属,2015,大阪府,八尾市,15,39772000.0,610000.0,596580000.0,48,4,4,4
日本共産党,2019,大阪府,八尾市,1,39772000.0,610000.0,39772000.0,48,4,4,4
無所属,2019,大阪府,八尾市,25,39772000.0,610000.0,994300000.0,48,4,4,4
公明党,2023,大阪府,八尾市,3,39772000.0,610000.0,119316000.0,48,4,4,4
日本共産党,2023,大阪府,八尾市,2,39772000.0,610000.0,79544000.0,48,4,4,4
無所属,2023,大阪府,八尾市,19,39772000.0,610000.0,755668000.0,48,4,4,4
公明党,2003,大阪府,堺市,8,82309500.0,780000.0,658476000.0,77,6,7,6
日本共産党,2003,大阪府,堺市,7,82309500.0,780000.0,576166500.0,77,6,7,6
民主党,2003,大阪府,堺市,3,82309500.0,780000.0,246928500.0,77,6,7,6
無所属,2003,大阪府,堺市,21,82309500.0,780000.0,1728499500.0,77,6,7,6
自由民主党,2003,大阪府,堺市,6,82309500.0,780000.0,493857000.0,77,6,7,6
無所属,2009,大阪府,堺市,1,192660000.0,780000.0,192660000.0,181,15,15,15
社会民主党,2024,大阪府,堺市,1,51167999.99999999,780000.0,51167999.99999999,48,4,4,4
無所属,2005,大阪府,大阪市,1,11571300.0,774000.0,11571300.0,11,1,1,1
日本共産党,2006,大阪府,大阪市,1,13893300.0,774000.0,13893300.0,14,1,1,1
日本共産党,2007,大阪府,大阪市,1,152052300.0,774000.0,152052300.0,147,12,12,13
自由民主党,2020,大阪府,大阪市,1,56269800.0,774000.0,56269800.0,55,5,5,4
日本維新の会,2024,大阪府,大阪市,1,49381200.0,774000.0,49381200.0,48,4,4,4
公明党,1999,大阪府,寝屋川市,4,42335120.0,643000.0,169340480.0,48,4,4,4
日本共産党,1999,大阪府,寝屋川市,2,42335120.0,643000.0,84670240.0,48,4,4,4
無所属,1999,大阪府,寝屋川市,20,42335120.0,643000.0,846702400.0,48,4,4,4
公明党,2003,大阪府,寝屋川市,2,42335120.0,643000.0,84670240.0,48,4,4,4
日本共産党,2003,大阪府,寝屋川市,4,42335120.0,643000.0,169340480.0,48,4,4,4
無所属,2003,大阪府,寝屋川市,22,42335120.0,643000.0,931372640.0,48,4,4,4
自由民主党,2003,大阪府,寝屋川市,1,42335120.0,643000.0,42335120.0,48,4,4,4
公明党,2007,大阪府,寝屋川市,4,42335120.0,643000.0,169340480.0,48,4,4,4
日本共産党,2007,大阪府,寝屋川市,1,42335120.0,643000.0,42335120.0,48,4,4,4
無所属,2007,大阪府,寝屋川市,20,42335120.0,643000.0,846702400.0,48,4,4,4
自由民主党,2007,大阪府,寝屋川市,1,42335120.0,643000.0,42335120.0,48,4,4,4
公明党,2011,大阪府,寝屋川市,2,42335120.0,643000.0,84670240.0,48,4,4,4
日本共産党,2011,大阪府,寝屋川市,1,42335120.0,643000.0,42335120.0,48,4,4,4
無所属,2011,大阪府,寝屋川市,18,42335120.0,643000.0,762032160.0,48,4,4,4
自由民主党,2011,大阪府,寝屋川市,2,42335120.0,643000.0,84670240.0,48,4,4,4
公明党,2015,大阪府,寝屋川市,2,42335120.0,643000.0,84670240.0,48,4,4,4
無所属,2015,大阪府,寝屋川市,16,42335120.0,643000.0,677361920.0,48,4,4,4
自由民主党,2015,大阪府,寝屋川市,1,42335120.0,643000.0,42335120.0,48,4,4,4
日本共産党,2019,大阪府,寝屋川市,2,42335120.0,643000.0,84670240.0,48,4,4,4
無所属,2019,大阪府,寝屋川市,14,42335120.0,643000.0,592691680.0,48,4,4,4
日本共産党,2023,大阪府,寝屋川市,2,42335120.0,643000.0,84670240.0,48,4,4,4
無所属,2023,大阪府,寝屋川市,19,42335120.0,643000.0,804367280.0,48,4,4,4
公明党,2003,大阪府,東大阪市,6,44520000.0,700000.0,267120000.0,48,4,4,4
日本共産党,2003,大阪府,東大阪市,8,44520000.0,700000.0,356160000.0,48,4,4,4
日本維新の会,2003,大阪府,東大阪市,2,44520000.0,700000.0,89040000.0,48,4,4,4
無所属,2003,大阪府,東大阪市,30,44520000.0,700000.0,1335600000.0,48,4,4,4
公明党,2007,大阪府,東大阪市,3,45219999.99999999,700000.0,135659999.99999997,49,4,4,4
日本共産党,2007,大阪府,東大阪市,5,45219999.99999999,700000.0,226099999.99999997,49,4,4,4
日本維新の会,2007,大阪府,東大阪市,1,45219999.99999999,700000.0,45219999.99999999,49,4,4,4
無所属,2007,大阪府,東大阪市,31,45219999.99999999,700000.0,1401819999.9999998,49,4,4,4
自由民主党,2007,大阪府,東大阪市,1,45219999.99999999,700000.0,45219999.99999999,49,4,4,4
公明党,2011,大阪府,東大阪市,2,43820000.0,700000.0,87640000.0,47,4,4,4
日本共産党,2011,大阪府,東大阪市,2,43820000.0,700000.0,87640000.0,47,4,4,4
無所属,2011,大阪府,東大阪市,27,43820000.0,700000.0,1183140000.0,47,4,4,4
公明党,2015,大阪府,東大阪市,3,44520000.0,700000.0,133560000.0,48,4,4,4
日本共産党,2015,大阪府,東大阪市,2,44520000.0,700000.0,89040000.0,48,4,4,4
無所属,2015,大阪府,東大阪市,22,44520000.0,700000.0,979440000.0,48,4,4,4
自由民主党,2015,大阪府,東大阪市,2,44520000.0,700000.0,89040000.0,48,4,4,4
公明党,2019,大阪府,東大阪市,5,44520000.0,700000.0,222600000.0,48,4,4,4
日本共産党,2019,大阪府,東大阪市,3,44520000.0,700000.0,133560000.0,48,4,4,4
無所属,2019,大阪府,東大阪市,18,44520000.0,700000.0,801360000.0,48,4,4,4
自由民主党,2019,大阪府,東大阪市,2,44520000.0,700000.0,89040000.0,48,4,4,4
公明党,2023,大阪府,東大阪市,4,44520000.0,700000.0,178080000.0,48,4,4,4
日本共産党,2023,大阪府,東大阪市,3,44520000.0,700000.0,133560000.0,48,4,4,4
無所属,2023,大阪府,東大阪市,23,44520000.0,700000.0,1023960000.0,48,4,4,4
自由民主党,2023,大阪府,東大阪市,2,44520000.0,700000.0,89040000.0,48,4,4,4
公明党,1999,大阪府,枚方市,1,40997760.0,628800.0,40997760.0,48,4,4,4
日本共産党,1999,大阪府,枚方市,3,40997760.0,628800.0,122993280.0,48,4,4,4
無所属,1999,大阪府,枚方市,26,40997760.0,628800.0,1065941760.0,48,4,4,4
公明党,2003,大阪府,枚方市,2,40997760.0,628800.0,81995520.0,48,4,4,4
日本共産党,2003,大阪府,枚方市,4,40997760.0,628800.0,163991040.0,48,4,4,4
無所属,2003,大阪府,枚方市,21,40997760.0,628800.0,860952960.0,48,4,4,4
日本共産党,2007,大阪府,枚方市,2,81995520.0,628800.0,163991040.0,96,8,8,8
無所属,2007,大阪府,枚方市,14,81995520.0,628800.0,1147937280.0,96,8,8,8
公明党,2015,大阪府,枚方市,3,40997760.0,628800.0,122993280.0,48,4,4,4
日本共産党,2015,大阪府,枚方市,1,40997760.0,628800.0,40997760.0,48,4,4,4
無所属,2015,大阪府,枚方市,8,40997760.0,628800.0,327982080.0,48,4,4,4
公明党,2019,大阪府,枚方市,1,40997760.0,628800.0,40997760.0,48,4,4,4
日本共産党,2019,大阪府,枚方市,2,40997760.0,628800.0,81995520.0,48,4,4,4
無所属,2019,大阪府,枚方市,19,40997760.0,628800.0,778957440.0,48,4,4,4
公明党,2023,大阪府,枚方市,4,40997760.0,628800.0,163991040.0,48,4,4,4
日本共産党,2023,大阪府,枚方市,3,40997760.0,628800.0,122993280.0,48,4,4,4
無所属,2023,大阪府,枚方市,20,40997760.0,628800.0,819955200.0,48,4,4,4
公明党,2003,大阪府,豊中市,5,41783000.0,635000.0,208915000.0,48,4,4,4
国民民主党,2003,大阪府,豊中市,1,41783000.0,635000.0,41783000.0,48,4,4,4
日本共産党,2003,大阪府,豊中市,4,41783000.0,635000.0,167132000.0,48,4,4,4
日本維新の会,2003,大阪府,豊中市,1,41783000.0,635000.0,41783000.0,48,4,4,4
無所属,2003,大阪府,豊中市,21,41783000.0,635000.0,877443000.0,48,4,4,4
立憲民主党,2003,大阪府,豊中市,1,41783000.0,635000.0,41783000.0,48,4,4,4
NHKから国民を守る党,2007,大阪府,豊中市,1,41783000.0,635000.0,41783000.0,48,4,4,4
上尾みらいの党,2007,大阪府,豊中市,1,41783000.0,635000.0,41783000.0,48,4,4,4
公明党,2007,大阪府,豊中市,5,41783000.0,635000.0,208915000.0,48,4,4,4
日本共産党,2007,大阪府,豊中市,4,41783000.0,635000.0,167132000.0,48,4,4,4
日本維新の会,2007,大阪府,豊中市,1,41783000.0,635000.0,41783000.0,48,4,4,4
無所属,2007,大阪府,豊中市,10,41783000.0,635000.0,417830000.0,48,4,4,4
立憲民主党,2007,大阪府,豊中市,1,41783000.0,635000.0,41783000.0,48,4,4,4
自由民主党,2007,大阪府,豊中市,2,41783000.0,635000.0,83566000.0,48,4,4,4
公明党,2011,大阪府,豊中市,1,31337250.0,635000.0,31337250.0,36,3,3,3
日本共産党,2011,大阪府,豊中市,2,31337250.0,635000.0,62674500.0,36,3,3,3
無所属,2011,大阪府,豊中市,8,31337250.0,635000.0,250698000.0,36,3,3,3
立憲民主党,2011,大阪府,豊中市,1,31337250.0,635000.0,31337250.0,36,3,3,3
自由民主党,2011,大阪府,豊中市,3,31337250.0,635000.0,94011750.0,36,3,3,3
無所属,2014,大阪府,豊中市,1,10445750.0,635000.0,10445750.0,12,1,1,1
公明党,2015,大阪府,豊中市,2,31337250.0,635000.0,62674500.0,36,3,3,3
日本共産党,2015,大阪府,豊中市,3,31337250.0,635000.0,94011750.0,36,3,3,3
無所属,2015,大阪府,豊中市,29,31337250.0,635000.0,908780250.0,36,3,3,3
日本共産党,2018,大阪府,豊中市,1,10445750.0,635000.0,10445750.0,12,1,1,1
無所属,2018,大阪府,豊中市,2,10445750.0,635000.0,20891500.0,12,1,1,1
公明党,2019,大阪府,豊中市,2,31337250.0,635000.0,62674500.0,36,3,3,3
日本共産党,2019,大阪府,豊中市,2,31337250.0,635000.0,62674500.0,36,3,3,3
無所属,2019,大阪府,豊中市,25,31337250.0,635000.0,783431250.0,36,3,3,3
民主党,2022,大阪府,豊中市,1,10445750.0,635000.0,10445750.0,12,1,1,1
公明党,2023,大阪府,豊中市,3,41783000.0,635000.0,125349000.0,48,4,4,4
日本共産党,2023,大阪府,豊中市,1,41783000.0,635000.0,41783000.0,48,4,4,4
日本維新の会,2023,大阪府,豊中市,1,41783000.0,635000.0,41783000.0,48,4,4,4
無所属,2023,大阪府,豊中市,16,41783000.0,635000.0,668528000.0,48,4,4,4
公明党,2007,大阪府,高槻市,5,43295999.99999999,660000.0,216479999.99999997,48,4,4,4
幸福実現党,2007,大阪府,高槻市,1,43295999.99999999,660000.0,43295999.99999999,48,4,4,4
日本共産党,2007,大阪府,高槻市,4,43295999.99999999,660000.0,173183999.99999997,48,4,4,4
無所属,2007,大阪府,高槻市,17,43295999.99999999,660000.0,736031999.9999999,48,4,4,4
公明党,2011,大阪府,高槻市,3,43295999.99999999,660000.0,129887999.99999997,48,4,4,4
日本共産党,2011,大阪府,高槻市,4,43295999.99999999,660000.0,173183999.99999997,48,4,4,4
民主党,2011,大阪府,高槻市,1,43295999.99999999,660000.0,43295999.99999999,48,4,4,4
無所属,2011,大阪府,高槻市,24,43295999.99999999,660000.0,1039103999.9999998,48,4,4,4
公明党,2015,大阪府,高槻市,4,43295999.99999999,660000.0,173183999.99999997,48,4,4,4
日本共産党,2015,大阪府,高槻市,6,43295999.99999999,660000.0,259775999.99999994,48,4,4,4
民主党,2015,大阪府,高槻市,3,43295999.99999999,660000.0,129887999.99999997,48,4,4,4
無所属,2015,大阪府,高槻市,15,43295999.99999999,660000.0,649439999.9999999,48,4,4,4
公明党,2019,大阪府,高槻市,5,43295999.99999999,660000.0,216479999.99999997,48,4,4,4
日本共産党,2019,大阪府,高槻市,4,43295999.99999999,660000.0,173183999.99999997,48,4,4,4
民主党,2019,大阪府,高槻市,3,43295999.99999999,660000.0,129887999.99999997,48,4,4,4
無所属,2019,大阪府,高槻市,12,43295999.99999999,660000.0,519551999.9999999,48,4,4,4
公明党,2023,大阪府,高槻市,7,43295999.99999999,660000.0,303071999.99999994,48,4,4,4
日本共産党,2023,大阪府,高槻市,5,43295999.99999999,660000.0,216479999.99999997,48,4,4,4
民主党,2023,大阪府,高槻市,1,43295999.99999999,660000.0,43295999.99999999,48,4,4,4
民進党,2023,大阪府,高槻市,2,43295999.99999999,660000.0,86591999.99999999,48,4,4,4
無所属,2023,大阪府,高槻市,14,43295999.99999999,660000.0,606143999.9999999,48,4,4,4
公明党,2009,奈良県,奈良市,4,36499040.0,596000.0,145996160.0,48,4,4,4
幸福実現党,2009,奈良県,奈良市,1,36499040.0,596000.0,36499040.0,48,4,4,4
日本共産党,2009,奈良県,奈良市,3,36499040.0,596000.0,109497120.0,48,4,4,4
無所属,2009,奈良県,奈良市,21,36499040.0,596000.0,766479840.0,48,4,4,4
立憲民主党,2009,奈良県,奈良市,1,36499040.0,596000.0,36499040.0,48,4,4,4
公明党,2013,奈良県,奈良市,3,36499040.0,596000.0,109497120.0,48,4,4,4
日本共産党,2013,奈良県,奈良市,2,36499040.0,596000.0,72998080.0,48,4,4,4
無所属,2013,奈良県,奈良市,20,36499040.0,596000.0,729980800.0,48,4,4,4
公明党,2017,奈良県,奈良市,3,36499040.0,596000.0,109497120.0,48,4,4,4
日本共産党,2017,奈良県,奈良市,2,36499040.0,596000.0,72998080.0,48,4,4,4
無所属,2017,奈良県,奈良市,23,36499040.0,596000.0,839477920.0,48,4,4,4
公明党,2021,奈良県,奈良市,4,36499040.0,596000.0,145996160.0,48,4,4,4
日本共産党,2021,奈良県,奈良市,4,36499040.0,596000.0,145996160.0,48,4,4,4
無所属,2021,奈良県,奈良市,21,36499040.0,596000.0,766479840.0,48,4,4,4
自由民主党,2021,奈良県,奈良市,3,36499040.0,596000.0,109497120.0,48,4,4,4
無所属,2001,宮城県,仙台市,1,51609600.0,840000.0,51609600.0,48,4,4,4
無所属,2007,宮崎県,宮崎市,4,25028190.0,583000.0,100112760.0,33,2,3,3
無所属,2010,宮崎県,宮崎市,1,35702920.0,583000.0,35702920.0,48,4,4,4
日本共産党,2003,富山県,富山市,1,76476000.0,600000.0,76476000.0,99,8,9,8
無所属,2003,富山県,富山市,32,76476000.0,600000.0,2447232000.0,99,8,9,8
無所属,2011,富山県,富山市,2,15684000.0,600000.0,31368000.0,21,2,1,2
無所属,2013,富山県,富山市,34,32795999.999999996,600000.0,1115063999.9999998,43,3,4,3
公明党,2016,富山県,富山市,2,4068000.0,600000.0,8136000.0,5,1,0,1
日本共産党,2016,富山県,富山市,2,4068000.0,600000.0,8136000.0,5,1,0,1
無所属,2016,富山県,富山市,9,4068000.0,600000.0,36612000.0,5,1,0,1
公明党,2017,富山県,富山市,2,36864000.0,600000.0,73728000.0,48,4,4,4
民主党,2017,富山県,富山市,1,36864000.0,600000.0,36864000.0,48,4,4,4
無所属,2017,富山県,富山市,30,36864000.0,600000.0,1105920000.0,48,4,4,4
社会民主党,2017,富山県,富山市,1,36864000.0,600000.0,36864000.0,48,4,4,4
公明党,2021,富山県,富山市,2,36864000.0,600000.0,73728000.0,48,4,4,4
日本共産党,2021,富山県,富山市,2,36864000.0,600000.0,73728000.0,48,4,4,4
日本維新の会,2021,富山県,富山市,1,36864000.0,600000.0,36864000.0,48,4,4,4
民主党,2021,富山県,富山市,1,36864000.0,600000.0,36864000.0,48,4,4,4
無所属,2021,富山県,富山市,25,36864000.0,600000.0,921600000.0,48,4,4,4
社会民主党,2021,富山県,富山市,1,36864000.0,600000.0,36864000.0,48,4,4,4
自由民主党,2021,富山県,富山市,3,36864000.0,600000.0,110592000.0,48,4,4,4
日本共産党,2007,山口県,下関市,3,16459000.0,545000.0,49377000.0,25,2,2,2
無所属,2007,山口県,下関市,30,16459000.0,545000.0,493770000.0,25,2,2,2
自由民主党,2007,山口県,下関市,2,16459000.0,545000.0,32918000.0,25,2,2,2
公明党,2009,山口県,下関市,1,14824000.0,545000.0,14824000.0,22,2,2,2
無所属,2009,山口県,下関市,1,14824000.0,545000.0,14824000.0,22,2,2,2
公明党,2011,山口県,下関市,1,17004000.0,545000.0,17004000.0,26,2,2,2
日本共産党,2011,山口県,下関市,1,17004000.0,545000.0,17004000.0,26,2,2,2
無所属,2011,山口県,下関市,24,17004000.0,545000.0,408096000.0,26,2,2,2
立憲民主党,2011,山口県,下関市,1,17004000.0,545000.0,17004000.0,26,2,2,2
自由民主党,2011,山口県,下関市,2,17004000.0,545000.0,34008000.0,26,2,2,2
無所属,2013,山口県,下関市,1,14824000.0,545000.0,14824000.0,22,2,2,2
公明党,2015,山口県,下関市,1,17004000.0,545000.0,17004000.0,26,2,2,2
無所属,2015,山口県,下関市,26,17004000.0,545000.0,442104000.0,26,2,2,2
無所属,2017,山口県,下関市,1,15369000.0,545000.0,15369000.0,23,2,2,2
公明党,2019,山口県,下関市,2,16459000.0,545000.0,32918000.0,25,2,2,2
無所属,2019,山口県,下関市,27,16459000.0,545000.0,444393000.0,25,2,2,2
無所属,2021,山口県,下関市,1,15369000.0,545000.0,15369000.0,23,2,2,2
公明党,2023,山口県,下関市,2,31828000.0,545000.0,63656000.0,48,4,4,4
幸福実現党,2023,山口県,下関市,1,31828000.0,545000.0,31828000.0,48,4,4,4
無所属,2023,山口県,下関市,21,31828000.0,545000.0,668388000.0,48,4,4,4
公明党,2007,山形県,山形市,8,39168000.0,640000.0,313344000.0,48,4,4,4
日本共産党,2007,山形県,山形市,6,39168000.0,640000.0,235008000.0,48,4,4,4
民主党,2007,山形県,山形市,3,39168000.0,640000.0,117504000.0,48,4,4,4
無所属,2007,山形県,山形市,15,39168000.0,640000.0,587520000.0,48,4,4,4
社会民主党,2007,山形県,山形市,1,39168000.0,640000.0,39168000.0,48,4,4,4
自由民主党,2007,山形県,山形市,1,39168000.0,640000.0,39168000.0,48,4,4,4
公明党,2011,山形県,山形市,8,39168000.0,640000.0,313344000.0,48,4,4,4
日本共産党,2011,山形県,山形市,5,39168000.0,640000.0,195840000.0,48,4,4,4
民主党,2011,山形県,山形市,4,39168000.0,640000.0,156672000.0,48,4,4,4
無所属,2011,山形県,山形市,14,39168000.0,640000.0,548352000.0,48,4,4,4
社会民主党,2011,山形県,山形市,1,39168000.0,640000.0,39168000.0,48,4,4,4
自由民主党,2011,山形県,山形市,1,39168000.0,640000.0,39168000.0,48,4,4,4
公明党,2015,山形県,山形市,8,39168000.0,640000.0,313344000.0,48,4,4,4
日本共産党,2015,山形県,山形市,6,39168000.0,640000.0,235008000.0,48,4,4,4
民主党,2015,山形県,山形市,3,39168000.0,640000.0,117504000.0,48,4,4,4
無所属,2015,山形県,山形市,11,39168000.0,640000.0,430848000.0,48,4,4,4
社会民主党,2015,山形県,山形市,1,39168000.0,640000.0,39168000.0,48,4,4,4
自由民主党,2015,山形県,山形市,1,39168000.0,640000.0,39168000.0,48,4,4,4
みんなの党,2019,山形県,山形市,1,39168000.0,640000.0,39168000.0,48,4,4,4
公明党,2019,山形県,山形市,7,39168000.0,640000.0,274176000.0,48,4,4,4
日本共産党,2019,山形県,山形市,5,39168000.0,640000.0,195840000.0,48,4,4,4
民主党,2019,山形県,山形市,5,39168000.0,640000.0,195840000.0,48,4,4,4
無所属,2019,山形県,山形市,9,39168000.0,640000.0,352512000.0,48,4,4,4
自由民主党,2019,山形県,山形市,2,39168000.0,640000.0,78336000.0,48,4,4,4
公明党,2023,山形県,山形市,7,39168000.0,640000.0,274176000.0,48,4,4,4
大阪維新の会,2023,山形県,山形市,4,39168000.0,640000.0,156672000.0,48,4,4,4
日本共産党,2023,山形県,山形市,3,39168000.0,640000.0,117504000.0,48,4,4,4
民主党,2023,山形県,山形市,2,39168000.0,640000.0,78336000.0,48,4,4,4
無所属,2023,山形県,山形市,5,39168000.0,640000.0,195840000.0,48,4,4,4
自由民主党,2023,山形県,山形市,3,39168000.0,640000.0,117504000.0,48,4,4,4
公明党,1999,岐阜県,岐阜市,2,30680000.0,650000.0,61360000.0,34,2,3,3
日本共産党,1999,岐阜県,岐阜市,2,30680000.0,650000.0,61360000.0,34,2,3,3
無所属,1999,岐阜県,岐阜市,23,30680000.0,650000.0,705640000.0,34,2,3,3
自由民主党,1999,岐阜県,岐阜市,5,30680000.0,650000.0,153400000.0,34,2,3,3
無所属,2002,岐阜県,岐阜市,1,11960000.0,650000.0,11960000.0,14,2,1,1
公明党,2003,岐阜県,岐阜市,2,42640000.0,650000.0,85280000.0,48,4,4,4
日本共産党,2003,岐阜県,岐阜市,2,42640000.0,650000.0,85280000.0,48,4,4,4
無所属,2003,岐阜県,岐阜市,17,42640000.0,650000.0,724880000.0,48,4,4,4
自由民主党,2003,岐阜県,岐阜市,4,42640000.0,650000.0,170560000.0,48,4,4,4
公明党,2007,岐阜県,岐阜市,2,42640000.0,650000.0,85280000.0,48,4,4,4
無所属,2007,岐阜県,岐阜市,33,42640000.0,650000.0,1407120000.0,48,4,4,4
公明党,2011,岐阜県,岐阜市,1,30680000.0,650000.0,30680000.0,34,2,3,3
無所属,2011,岐阜県,岐阜市,36,30680000.0,650000.0,1104480000.0,34,2,3,3
無所属,2014,岐阜県,岐阜市,1,11960000.0,650000.0,11960000.0,14,2,1,1
民主党,2015,岐阜県,岐阜市,1,30030000.0,650000.0,30030000.0,33,2,3,3
無所属,2015,岐阜県,岐阜市,25,30030000.0,650000.0,750750000.0,33,2,3,3
無所属,2018,岐阜県,岐阜市,1,12610000.0,650000.0,12610000.0,15,2,1,1
日本共産党,2019,岐阜県,岐阜市,3,30680000.0,650000.0,92040000.0,34,2,3,3
民主党,2019,岐阜県,岐阜市,3,30680000.0,650000.0,92040000.0,34,2,3,3
無所属,2019,岐阜県,岐阜市,25,30680000.0,650000.0,767000000.0,34,2,3,3
自由民主党,2019,岐阜県,岐阜市,1,30680000.0,650000.0,30680000.0,34,2,3,3
無所属,2022,岐阜県,岐阜市,1,11960000.0,650000.0,11960000.0,14,2,1,1
公明党,2023,岐阜県,岐阜市,3,42640000.0,650000.0,127920000.0,48,4,4,4
日本共産党,2023,岐阜県,岐阜市,1,42640000.0,650000.0,42640000.0,48,4,4,4
民主党,2023,岐阜県,岐阜市,1,42640000.0,650000.0,42640000.0,48,4,4,4
無所属,2023,岐阜県,岐阜市,22,42640000.0,650000.0,938080000.0,48,4,4,4
無所属,2008,岡山県,倉敷市,1,9011500.0,670000.0,9011500.0,9,0,1,1
公明党,2009,岡山県,倉敷市,2,35074500.0,670000.0,70149000.0,39,4,3,3
日本共産党,2009,岡山県,倉敷市,2,35074500.0,670000.0,70149000.0,39,4,3,3
民主党,2009,岡山県,倉敷市,3,35074500.0,670000.0,105223500.0,39,4,3,3
無所属,2009,岡山県,倉敷市,28,35074500.0,670000.0,982086000.0,39,4,3,3
無所属,2012,岡山県,倉敷市,1,9011500.0,670000.0,9011500.0,9,0,1,1
公明党,2013,岡山県,倉敷市,2,44086000.0,670000.0,88172000.0,48,4,4,4
日本共産党,2013,岡山県,倉敷市,7,44086000.0,670000.0,308602000.0,48,4,4,4
日本維新の会,2013,岡山県,倉敷市,2,44086000.0,670000.0,88172000.0,48,4,4,4
無所属,2013,岡山県,倉敷市,22,44086000.0,670000.0,969892000.0,48,4,4,4
みんなの党,2017,岡山県,倉敷市,1,35074500.0,670000.0,35074500.0,39,4,3,3
公明党,2017,岡山県,倉敷市,3,35074500.0,670000.0,105223500.0,39,4,3,3
日本共産党,2017,岡山県,倉敷市,4,35074500.0,670000.0,140298000.0,39,4,3,3
民主党,2017,岡山県,倉敷市,3,35074500.0,670000.0,105223500.0,39,4,3,3
無所属,2017,岡山県,倉敷市,27,35074500.0,670000.0,947011500.0,39,4,3,3
無所属,2020,岡山県,倉敷市,3,9011500.0,670000.0,27034500.0,9,0,1,1
公明党,2021,岡山県,倉敷市,2,35074500.0,670000.0,70149000.0,39,4,3,3
日本共産党,2021,岡山県,倉敷市,5,35074500.0,670000.0,175372500.0,39,4,3,3
日本維新の会,2021,岡山県,倉敷市,2,35074500.0,670000.0,70149000.0,39,4,3,3
無所属,2021,岡山県,倉敷市,21,35074500.0,670000.0,736564500.0,39,4,3,3
自由民主党,2021,岡山県,倉敷市,1,35074500.0,670000.0,35074500.0,39,4,3,3
日本共産党,2024,岡山県,倉敷市,1,44086000.0,670000.0,44086000.0,48,4,4,4
無所属,2024,岡山県,倉敷市,1,44086000.0,670000.0,44086000.0,48,4,4,4
無所属,2013,岡山県,岡山市,1,46718000.0,710000.0,46718000.0,48,4,4,4
無所属,2017,岡山県,岡山市,1,46718000.0,710000.0,46718000.0,48,4,4,4
日本共産党,2021,岡山県,岡山市,1,46718000.0,710000.0,46718000.0,48,4,4,4
公明党,1999,岩手県,盛岡市,2,37908480.0,617000.0,75816960.0,48,4,4,4
日本共産党,1999,岩手県,盛岡市,4,37908480.0,617000.0,151633920.0,48,4,4,4
無所属,1999,岩手県,盛岡市,23,37908480.0,617000.0,871895040.0,48,4,4,4
社会民主党,1999,岩手県,盛岡市,2,37908480.0,617000.0,75816960.0,48,4,4,4
公明党,2003,岩手県,盛岡市,1,37908480.0,617000.0,37908480.0,48,4,4,4
日本共産党,2003,岩手県,盛岡市,7,37908480.0,617000.0,265359360.0,48,4,4,4
無所属,2003,岩手県,盛岡市,25,37908480.0,617000.0,947712000.0,48,4,4,4
社会民主党,2003,岩手県,盛岡市,2,37908480.0,617000.0,75816960.0,48,4,4,4
立憲民主党,2003,岩手県,盛岡市,1,37908480.0,617000.0,37908480.0,48,4,4,4
公明党,2007,岩手県,盛岡市,1,41382189.99999999,617000.0,41382189.99999999,52,4,5,4
日本共産党,2007,岩手県,盛岡市,1,41382189.99999999,617000.0,41382189.99999999,52,4,5,4
無所属,2007,岩手県,盛岡市,30,41382189.99999999,617000.0,1241465699.9999998,52,4,5,4
社会民主党,2007,岩手県,盛岡市,1,41382189.99999999,617000.0,41382189.99999999,52,4,5,4
立憲民主党,2007,岩手県,盛岡市,1,41382189.99999999,617000.0,41382189.99999999,52,4,5,4
公明党,2011,岩手県,盛岡市,1,37908480.0,617000.0,37908480.0,48,4,4,4
日本共産党,2011,岩手県,盛岡市,1,37908480.0,617000.0,37908480.0,48,4,4,4
民主党,2011,岩手県,盛岡市,2,37908480.0,617000.0,75816960.0,48,4,4,4
無所属,2011,岩手県,盛岡市,26,37908480.0,617000.0,985620480.0,48,4,4,4
社会民主党,2011,岩手県,盛岡市,5,37908480.0,617000.0,189542400.0,48,4,4,4
公明党,2015,岩手県,盛岡市,1,37908480.0,617000.0,37908480.0,48,4,4,4
日本共産党,2015,岩手県,盛岡市,1,37908480.0,617000.0,37908480.0,48,4,4,4
民主党,2015,岩手県,盛岡市,1,37908480.0,617000.0,37908480.0,48,4,4,4
無所属,2015,岩手県,盛岡市,25,37908480.0,617000.0,947712000.0,48,4,4,4
社会民主党,2015,岩手県,盛岡市,2,37908480.0,617000.0,75816960.0,48,4,4,4
みんなの党,2019,岩手県,盛岡市,1,37908480.0,617000.0,37908480.0,48,4,4,4
公明党,2019,岩手県,盛岡市,2,37908480.0,617000.0,75816960.0,48,4,4,4
日本共産党,2019,岩手県,盛岡市,2,37908480.0,617000.0,75816960.0,48,4,4,4
無所属,2019,岩手県,盛岡市,27,37908480.0,617000.0,1023528960.0,48,4,4,4
社会民主党,2019,岩手県,盛岡市,3,37908480.0,617000.0,113725440.0,48,4,4,4
